S-J;"Choicemaker, what a delight to hear from you again.; I assume you are now prepared to make the significant choice that we all expect.; And I can sense the resolve in your eyes,; your will to put an end to our doubts and wondering.; What is the point of leaving after so many good years?; What is the point of making the same mistake again?; We all know what will happen:; our people shall leave the forest,; get humiliated or violented once outside,; and our savagery shall be renewed:; we will slay, rape, torture those who oppose themselves to us.; Discoveries can be made, but inside ourselves:; we do not need to see the outside world,; we need to explore our inner mantras.; Let’s dive deeper in the forest.; Let’s dive deeper into our heart.; Take the path of atonement; and let us take more time to understand who we really are.;"
S-D;"Come along, Choicemaker, and tag along with me in the woods.; Ignis would love you to believe that leaving the forest is the right choice,; and that we are now prepared for what's lying outside.; Don't let these ideas cloud your mind, as they are wrong and insidious.; What good is it to waste our time in the forest, he might say ?; But what good to waste our time leaving the forest; and stopping everything we have been working for, I say ?; I put my faith in you, my friend.; You are the only one who can work this out.; Is there anything more to say than ask for mere rationality ?; Don't let us become what we despise, what we sworn to destroy."
S-JJ;"This is it, Choicemaker.; I believe you made the right decision.; What’s good in wasting the lives of our people?; Why should we leave this haven where we grow in the right way?; You have spoken; and your words shall be the delicate caress of love that soothe us.; Now, leave your mask,; be freed of your responsibility,; let us explore the depths of the forest,; and the depths of our heart."
S-JD;"So it is then, choicemaker.; Did Ignis have anything to do with your decision ?; This isn’t how you are supposed to solve this conflict.; But I guess you can give it a try.; Nothing great lies beyond these trees; and what if you meet tribes we mutilated ?; What if you encounter the very same people we murdered decades ago ?; Do you think this is the right decision, choicemaker ?; If so, go on, and bring us good news.; You will tell us.; What is right, and what is wrong,; if we did the right  choice, or not.; Leave now, Choicemaker,; and keep your mask as the symbol of your quest for truth."
S-DJ;"Choicemaker, is this really what you want?; To break free from your responsibility?; From your role?; Don’t you want to play along and be the one you are supposed to be; the liberator of this nonsense?; Then if that’s your choice,; turmoil shall begin anew,; and conflicts shall rise again.; You have been tasked to help us,; and you failed us all.; Are you that happy with this decision?; Because I think you could have been doing things otherwise."
Ignis;
I-TUTO1;"Greetings, Choicemaker. My name is Ignis.; As you can see, I bear the mask of freedom,; inspired by our ancestors' desire to explore the world.; And now this desire is ours again.; Indeed, the forest has soothed us,; healed our wounds and inspired us a newfound pacifism,; your mask is the very proof of that.; But we can not stay here forever,; we have compensated enough for the crimes of the ancients.; We have learned from history; and I believe we are mature enough to breath the air outside the forest again.; And so are you, choicemaker.; I trust you on believing in our people; and making the right choice to guide us forward."
I-TUTO2;"Hello again, Choicemaker.; It seems you get to hear from me again.; Have you been learning about the ancient ones on your path here ?;  I have been passing our history onto; the younger and older generations alike for years now.; Some fear this very history,; invoking the awakening of old-fashioned pulsions.; Do not listen to them.; As long as you read it with your heart and spirit,; history can only make you wiser.; If you close your eyes on history,; you'll end up blind.; But if you open them, you'll discover plenty of wonders.; Follow the impulse of curiosity, Choicemaker.; Do not be afraid,; let it guide you and open up the path to the treasure of our ancestors ! "
I-J;"I've overheard your last conversation with Septimus,; back were the moon stood.; It pains me to hear how Septimus invokes; their ancestor to preach about the holiness of the forest.; Eolius was a visionary,; they led the path forward with their pacifist ethos.; But what Septimus seems to be forgetting is that; Eolius went in full contradiction with the ancient gods and traditions.; Our new history is one of breaking with the tradition; as well as breaking new ground.; We need to evolve, choicemaker.; Our real problem was our lack of self-questionning.; That said, I think you talking to me is; the proof you are lucid and understand our history.; Although some of us seem afraid of our past and going outside,; we need to keep evolving,; and leaving this place is the only way."
I-D;"Choicemaker, I can see the sparkles in your eyes.; I assume that, if you have gone to me again,; it means we share the same burning desire to; explore the world outside of the forest.; Can you feel this fire inside of you ?; Not one of conquest,; but one of learning more and beyond !; And if we were to make mistakes again,; then so be it.; Just like we learned from the great massacre,; we will learn again.; It is only unfair to us; new generations of the forest; that we be imprisoned in the woods for the barbary of our ancestors !; I do not want to be haunted by them anymore,; I want to clear a new path for us.; And this path leads outside of the borders of the forest.; Cross it and the outside world is ours to discover.
"
I-JD;"You want to go outside alone, you say ?; Well, it seems we're in a deadlock.; Septimus' like-mindeds will never agree to go out of the forest.; So, choicemaker,; come back rich with landscapes in your mind,; goods in your pockets; and show them what we are missing.; I wish I could come with you,; but I would then be accused of corruption.; Therefore, I will patiently wait for your return.; And dream of the outside world."
I-DJ;"Breaking the mask like this ?; You sure are a bold one !; But as much as I respect your audacity, choicemaker…; What the hell do you think you're doing ?; You can't just escape your role like this !; Don't you want our people to go forward ?; Did Septimus contaminate you with their fear ?; I guess it became too much to bear; the responsibility of the choicemaker...; I am at lost now.; What are we to do ? "
I-DD;"The choicemaker has spoken,; and rejoiced the voice of exploration.; Thus, we shall retrace our ancestors' steps,; growing the seeds of peace on the way they once; tainted with bloodshed.; But do not look down on those,; and,; rather,; look up to the luminous skies that will; open up to us on the way.; Admire the silver, gold and manifold colours that will; shine before us,; and let them fill your heart,; as today we are writing a new page of history.; For the first time in centuries,; we are leaving the forest,; and the fire that guides us will mirror the sun :; enlightened and benevolent."
